杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备
0.0,0.0,1.1,1.59,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.03,0.0,0.0
0.0,0.0,1.01,1.55,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0
0.0,0.0,0.96,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0
0.0,0.0,0.88,1.57,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0
0.0,0.0,0.71,1.33,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0
0.0,0.0,0.78,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0
0.0,0.0,0.82,1.29,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0
0.0,0.0,0.71,1.33,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0
0.0,0.0,0.74,1.26,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0
0.0,0.0,0.83,1.31,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0
0.0,0.0,0.98,1.41,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.02,0.0,0.0
0.0,0.0,0.97,1.65,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0
0.0,0.0,0.75,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0
0.0,0.0,0.8,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
0.0,0.0,0.81,1.38,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0
0.0,0.0,0.91,1.44,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0
0.0,0.0,0.8,1.23,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0
0.0,0.0,0.74,1.14,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0
0.0,0.0,0.83,1.27,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0
0.0,0.0,0.48,1.68,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0
0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
0.0,0.0,4.29,0.0,0.0,0.0,0.16,0.0,0.0,0.0,5.04,1.03,0.0,0.0
0.0,0.0,3.41,0.0,0.0,0.0,0.14,0.0,0.0,0.0,4.17,0.87,0.0,0.0
0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.66,0.0,0.0
0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.71,0.0,0.0
0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.63,0.0,0.0
0.0,0.0,3.06,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.52,0.76,0.0,0.0
0.0,0.0,3.47,0.0,0.0,0.0,0.05,0.0,0.0,0.0,3.94,0.84,0.0,0.0
0.0,0.0,2.96,0.0,0.0,0.0,0.08,0.0,0.0,0.0,3.59,0.76,0.0,0.0
0.0,0.0,3.36,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4.01,0.84,0.0,0.0
0.0,0.0,3.17,0.0,0.0,0.0,0.06,0.0,0.0,0.0,3.71,0.79,0.0,0.0
0.0,0.0,2.77,0.0,0.0,0.0,0.04,0.0,0.0,0.0,3.28,0.71,0.0,0.0
0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.58,0.0,0.0
0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.47,0.0,0.0
0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.42,0.0,0.0
0.0,0.0,2.43,0.0,0.0,0.0,0.06,0.0,0.0,0.0,3.08,0.67,0.0,0.0
0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.63,0.0,0.0
0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.55,0.0,0.0
0.0,0.0,2.56,0.0,0.0,0.0,0.05,0.0,0.0,0.0,3.16,0.68,0.0,0.0
0.0,0.0,3.21,0.0,0.0,0.0,0.09,0.0,0.0,0.0,3.78,0.81,0.0,0.0
0.0,0.0,3.39,0.0,0.0,0.0,0.14,0.0,0.0,0.0,4.08,0.86,0.0,0.0
0.0,0.0,3.21,0.0,0.0,0.0,0.09,0.0,0.0,0.0,3.78,0.81,0.0,0.0
0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.58,0.0,0.0
0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.68,0.0,0.0
0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.6,0.0,0.0
0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.68,0.0,0.0
0.0,0.0,3.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3.37,0.76,0.0,0.0
0.0,0.0,3.09,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.63,0.79,0.0,0.0
0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.77,0.0,0.0
0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.64,0.0,0.0
0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.71,0.0,0.0
0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.42,0.0,0.0
0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.71,0.0,0.0
0.0,0.0,2.89,0.0,0.0,0.0,0.02,0.0,0.0,0.0,3.24,0.73,0.0,0.0
0.0,0.0,3.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.54,0.78,0.0,0.0
0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.66,0.0,0.0
0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.61,0.0,0.0
0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.66,0.0,0.0
0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.7,0.0,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.45,0.0,0.0
0.0,0.0,3.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.89,0.82,0.0,0.0
0.0,0.0,3.44,0.0,0.0,0.38,0.0,0.0,0.0,0.0,5.1,0.73,0.0,0.0
0.0,0.0,3.01,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4.55,0.67,0.0,0.0
0.0,0.0,2.19,0.05,0.0,0.25,0.0,0.0,0.0,0.0,3.41,0.5,0.0,0.0
0.0,0.0,2.31,0.03,0.0,0.27,0.0,0.0,0.0,0.0,3.57,0.51,0.0,0.0
0.0,0.0,2.06,0.06,0.0,0.24,0.0,0.0,0.0,0.0,3.24,0.49,0.0,0.0
0.0,0.0,2.61,0.01,0.0,0.31,0.0,0.0,0.0,0.0,3.99,0.58,0.0,0.0
0.0,0.0,2.87,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4.32,0.6,0.0,0.0
0.0,0.0,2.79,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4.27,0.65,0.0,0.0
0.0,0.0,3.05,0.0,0.0,0.36,0.0,0.0,0.0,0.0,4.59,0.67,0.0,0.0
0.0,0.0,2.75,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4.16,0.59,0.0,0.0
0.0,0.0,2.49,0.02,0.0,0.29,0.0,0.0,0.0,0.0,3.84,0.57,0.0,0.0
0.0,0.0,1.93,0.08,0.0,0.23,0.0,0.0,0.0,0.0,3.09,0.48,0.0,0.0
0.0,0.0,1.08,0.15,0.0,0.1,0.0,0.0,0.0,0.0,1.89,0.27,0.0,0.0
0.0,0.0,1.43,0.13,0.0,0.17,0.0,0.0,0.0,0.0,2.45,0.43,0.0,0.0
0.0,0.0,2.57,0.02,0.0,0.33,0.0,0.0,0.0,0.0,4.04,0.69,0.0,0.0
0.0,0.0,2.23,0.05,0.0,0.27,0.0,0.0,0.0,0.0,3.52,0.55,0.0,0.0
0.0,0.0,1.97,0.08,0.0,0.24,0.0,0.0,0.0,0.0,3.19,0.54,0.0,0.0
0.0,0.0,2.53,0.02,0.0,0.31,0.0,0.0,0.0,0.0,3.94,0.63,0.0,0.0
0.0,0.0,2.92,0.0,0.0,0.36,0.0,0.0,0.0,0.0,4.47,0.7,0.0,0.0
0.0,0.0,3.21,0.0,0.0,0.4,0.0,0.0,0.0,0.0,4.9,0.77,0.0,0.0
0.0,0.0,2.92,0.0,0.0,0.36,0.0,0.0,0.0,0.0,4.47,0.7,0.0,0.0
0.0,0.0,1.93,0.08,0.0,0.23,0.0,0.0,0.0,0.0,3.09,0.48,0.0,0.0
0.0,0.0,2.19,0.06,0.0,0.28,0.0,0.0,0.0,0.0,3.5,0.58,0.0,0.0
0.0,0.0,2.1,0.07,0.0,0.27,0.0,0.0,0.0,0.0,3.39,0.59,0.0,0.0
0.0,0.0,2.19,0.06,0.0,0.28,0.0,0.0,0.0,0.0,3.5,0.58,0.0,0.0
0.0,0.0,2.45,0.03,0.0,0.31,0.0,0.0,0.0,0.0,3.83,0.6,0.0,0.0
0.0,0.0,2.58,0.02,0.0,0.29,0.0,0.0,0.0,0.0,4.0,0.62,0.0,0.0
0.0,0.0,2.27,0.04,0.0,0.27,0.0,0.0,0.0,0.0,3.55,0.54,0.0,0.0
0.0,0.0,1.9,0.08,0.0,0.25,0.0,0.0,0.0,0.0,3.08,0.51,0.0,0.0
0.0,0.0,2.16,0.05,0.0,0.28,0.0,0.0,0.0,0.0,3.41,0.53,0.0,0.0
0.0,0.0,1.04,0.16,0.0,0.09,0.0,0.0,0.0,0.0,1.81,0.25,0.0,0.0
0.0,0.0,2.16,0.05,0.0,0.28,0.0,0.0,0.0,0.0,3.41,0.53,0.0,0.0
0.0,0.0,2.49,0.03,0.0,0.32,0.0,0.0,0.0,0.0,3.92,0.65,0.0,0.0
0.0,0.0,2.78,0.0,0.0,0.37,0.0,0.0,0.0,0.0,4.35,0.73,0.0,0.0
0.0,0.0,2.38,0.03,0.0,0.24,0.0,0.0,0.0,0.0,3.61,0.45,0.0,0.0
0.0,0.0,2.08,0.06,0.0,0.2,0.0,0.0,0.0,0.0,3.18,0.38,0.0,0.0
0.0,0.0,2.2,0.05,0.0,0.21,0.0,0.0,0.0,0.0,3.34,0.4,0.0,0.0
0.0,0.0,2.44,0.02,0.0,0.23,0.0,0.0,0.01,0.0,3.64,0.42,0.0,0.0
0.0,0.0,1.11,0.15,0.0,0.11,0.0,0.0,0.0,0.0,1.98,0.32,0.0,0.0
0.0,0.0,2.63,0.01,0.0,0.29,0.0,0.0,0.0,0.0,4.03,0.61,0.0,0.0
0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.85,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.34,0.0
0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.63,0.32,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.67,0.35,0.0
0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.63,0.34,0.0
0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.72,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.36,0.0
0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.73,0.34,0.0
0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.77,0.34,0.0
0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.72,0.33,0.0
0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.68,0.33,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.45,0.27,0.0
0.0,0.0,0.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.51,0.31,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.71,0.34,0.0
0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.64,0.33,0.0
0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.32,0.0
0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.69,0.34,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.82,0.35,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.64,0.32,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.71,0.32,0.0
0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.7,0.33,0.0
0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.67,0.31,0.0
0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.62,0.31,0.0
0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.66,0.31,0.0
0.0,0.0,0.7,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.43,0.28,0.0
0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.66,0.31,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.72,0.33,0.0
0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.77,0.34,0.0
0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.66,0.4,0.0
0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.6,0.39,0.0
0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.62,0.4,0.0
0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.65,0.44,0.0
0.0,0.0,0.86,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.46,0.28,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.72,0.34,0.0
0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.85,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.34,0.0
0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.63,0.32,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.67,0.35,0.0
0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.63,0.34,0.0
0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.72,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.36,0.0
0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.73,0.34,0.0
0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.77,0.34,0.0
0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.72,0.33,0.0
0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.68,0.33,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.45,0.27,0.0
0.0,0.0,0.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.51,0.31,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.71,0.34,0.0
0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.64,0.33,0.0
0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.32,0.0
0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.69,0.34,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.82,0.35,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.64,0.32,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.71,0.32,0.0
0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.7,0.33,0.0
0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.67,0.31,0.0
0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.62,0.31,0.0
0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.66,0.31,0.0
0.0,0.0,0.7,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.43,0.28,0.0
0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.66,0.31,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.72,0.33,0.0
0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.77,0.34,0.0
0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.66,0.4,0.0
0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.6,0.39,0.0
0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.62,0.4,0.0
0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.65,0.44,0.0
0.0,0.0,0.86,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.46,0.28,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.72,0.34,0.0
0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.85,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.34,0.0
0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.63,0.32,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.67,0.35,0.0
0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.63,0.34,0.0
0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.72,0.36,0.0
0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.76,0.36,0.0
0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.73,0.34,0.0
0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.77,0.34,0.0
0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.72,0.33,0.0
0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.68,0.33,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.45,0.27,0.0
0.0,0.0,0.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.51,0.31,0.0
0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.71,0.34,0.0
0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.64,0.33,0.0
0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.32,0.0
0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.69,0.34,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.82,0.35,0.0
0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.77,0.34,0.0
0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.59,0.31,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.64,0.32,0.0
0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.67,0.32,0.0
0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.71,0.32,0.0
0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.7,0.33,0.0
0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.67,0.31,0.0
